name,move,level_learned_at,power,damage_class,type
poliwag,pound,4.0,40.0,physical,normal
clefairy,pound,1.0,40.0,physical,normal
clefable,pound,1.0,40.0,physical,normal
jigglypuff,pound,9.0,40.0,physical,normal
wigglytuff,pound,1.0,40.0,physical,normal
poliwhirl,pound,1.0,40.0,physical,normal
poliwrath,pound,1.0,40.0,physical,normal
grimer,pound,1.0,40.0,physical,normal
drowzee,pound,1.0,40.0,physical,normal
kangaskhan,pound,1.0,40.0,physical,normal
muk,pound,1.0,40.0,physical,normal
hypno,pound,1.0,40.0,physical,normal
chansey,pound,1.0,40.0,physical,normal
mr-mime,pound,1.0,40.0,physical,normal
jynx,pound,1.0,40.0,physical,normal
mew,pound,1.0,40.0,physical,normal
mankey,karate-chop,15.0,50.0,physical,fighting
machop,karate-chop,1.0,50.0,physical,fighting
primeape,karate-chop,1.0,50.0,physical,fighting
machoke,karate-chop,1.0,50.0,physical,fighting
machamp,karate-chop,1.0,50.0,physical,fighting
poliwag,double-slap,25.0,15.0,physical,normal
clefairy,double-slap,18.0,15.0,physical,normal
clefable,double-slap,1.0,15.0,physical,normal
jigglypuff,double-slap,24.0,15.0,physical,normal
wigglytuff,double-slap,1.0,15.0,physical,normal
poliwhirl,double-slap,26.0,15.0,physical,normal
poliwrath,double-slap,1.0,15.0,physical,normal
chansey,double-slap,1.0,15.0,physical,normal
mr-mime,double-slap,31.0,15.0,physical,normal
jynx,double-slap,23.0,15.0,physical,normal
kangaskhan,comet-punch,1.0,18.0,physical,normal
hitmonchan,comet-punch,1.0,18.0,physical,normal
charmander,mega-punch,0.0,80.0,physical,normal
squirtle,mega-punch,0.0,80.0,physical,normal
psyduck,mega-punch,0.0,80.0,physical,normal
mankey,mega-punch,0.0,80.0,physical,normal
abra,mega-punch,0.0,80.0,physical,normal
machop,mega-punch,0.0,80.0,physical,normal
geodude,mega-punch,0.0,80.0,physical,normal
charmeleon,mega-punch,0.0,80.0,physical,normal
charizard,mega-punch,0.0,80.0,physical,normal
wartortle,mega-punch,0.0,80.0,physical,normal
blastoise,mega-punch,0.0,80.0,physical,normal
pikachu,mega-punch,0.0,80.0,physical,normal
raichu,mega-punch,0.0,80.0,physical,normal
nidoqueen,mega-punch,0.0,80.0,physical,normal
nidoking,mega-punch,0.0,80.0,physical,normal
clefairy,mega-punch,0.0,80.0,physical,normal
clefable,mega-punch,0.0,80.0,physical,normal
jigglypuff,mega-punch,0.0,80.0,physical,normal
wigglytuff,mega-punch,0.0,80.0,physical,normal
golduck,mega-punch,0.0,80.0,physical,normal
primeape,mega-punch,0.0,80.0,physical,normal
poliwhirl,mega-punch,0.0,80.0,physical,normal
poliwrath,mega-punch,0.0,80.0,physical,normal
kadabra,mega-punch,0.0,80.0,physical,normal
alakazam,mega-punch,0.0,80.0,physical,normal
machoke,mega-punch,0.0,80.0,physical,normal
machamp,mega-punch,0.0,80.0,physical,normal
graveler,mega-punch,0.0,80.0,physical,normal
drowzee,mega-punch,0.0,80.0,physical,normal
cubone,mega-punch,0.0,80.0,physical,normal
lickitung,mega-punch,0.0,80.0,physical,normal
kangaskhan,mega-punch,36.0,80.0,physical,normal
mewtwo,mega-punch,0.0,80.0,physical,normal
slowbro,mega-punch,0.0,80.0,physical,normal
gengar,mega-punch,0.0,80.0,physical,normal
hypno,mega-punch,0.0,80.0,physical,normal
marowak,mega-punch,0.0,80.0,physical,normal
hitmonlee,mega-punch,0.0,80.0,physical,normal
hitmonchan,mega-punch,48.0,80.0,physical,normal
rhydon,mega-punch,0.0,80.0,physical,normal
chansey,mega-punch,0.0,80.0,physical,normal
mr-mime,mega-punch,0.0,80.0,physical,normal
jynx,mega-punch,0.0,80.0,physical,normal
electabuzz,mega-punch,0.0,80.0,physical,normal
magmar,mega-punch,0.0,80.0,physical,normal
snorlax,mega-punch,0.0,80.0,physical,normal
dragonite,mega-punch,0.0,80.0,physical,normal
mew,mega-punch,20.0,80.0,physical,normal
golem,mega-punch,0.0,80.0,physical,normal
meowth,pay-day,17.0,40.0,physical,normal
psyduck,pay-day,0.0,40.0,physical,normal
mankey,pay-day,0.0,40.0,physical,normal
pikachu,pay-day,0.0,40.0,physical,normal
raichu,pay-day,0.0,40.0,physical,normal
nidoqueen,pay-day,0.0,40.0,physical,normal
nidoking,pay-day,0.0,40.0,physical,normal
persian,pay-day,17.0,40.0,physical,normal
golduck,pay-day,0.0,40.0,physical,normal
primeape,pay-day,0.0,40.0,physical,normal
slowpoke,pay-day,0.0,40.0,physical,normal
seel,pay-day,0.0,40.0,physical,normal
eevee,pay-day,0.0,40.0,physical,normal
mewtwo,pay-day,0.0,40.0,physical,normal
rapidash,pay-day,0.0,40.0,physical,normal
slowbro,pay-day,0.0,40.0,physical,normal
dewgong,pay-day,0.0,40.0,physical,normal
rhydon,pay-day,0.0,40.0,physical,normal
vaporeon,pay-day,0.0,40.0,physical,normal
jolteon,pay-day,0.0,40.0,physical,normal
flareon,pay-day,0.0,40.0,physical,normal
snorlax,pay-day,0.0,40.0,physical,normal
mew,pay-day,0.0,40.0,physical,normal
charmander,fire-punch,0.0,75.0,physical,fire
mankey,fire-punch,0.0,75.0,physical,fire
abra,fire-punch,0.0,75.0,physical,fire
machop,fire-punch,0.0,75.0,physical,fire
geodude,fire-punch,0.0,75.0,physical,fire
charmeleon,fire-punch,0.0,75.0,physical,fire
charizard,fire-punch,0.0,75.0,physical,fire
nidoqueen,fire-punch,0.0,75.0,physical,fire
nidoking,fire-punch,0.0,75.0,physical,fire
clefairy,fire-punch,0.0,75.0,physical,fire
clefable,fire-punch,0.0,75.0,physical,fire
jigglypuff,fire-punch,0.0,75.0,physical,fire
wigglytuff,fire-punch,0.0,75.0,physical,fire
primeape,fire-punch,0.0,75.0,physical,fire
kadabra,fire-punch,0.0,75.0,physical,fire
alakazam,fire-punch,0.0,75.0,physical,fire
machoke,fire-punch,0.0,75.0,physical,fire
machamp,fire-punch,0.0,75.0,physical,fire
graveler,fire-punch,0.0,75.0,physical,fire
grimer,fire-punch,0.0,75.0,physical,fire
gastly,fire-punch,0.0,75.0,physical,fire
drowzee,fire-punch,0.0,75.0,physical,fire
cubone,fire-punch,0.0,75.0,physical,fire
lickitung,fire-punch,0.0,75.0,physical,fire
kangaskhan,fire-punch,0.0,75.0,physical,fire
mewtwo,fire-punch,0.0,75.0,physical,fire
muk,fire-punch,0.0,75.0,physical,fire
haunter,fire-punch,0.0,75.0,physical,fire
gengar,fire-punch,0.0,75.0,physical,fire
hypno,fire-punch,0.0,75.0,physical,fire
marowak,fire-punch,0.0,75.0,physical,fire
hitmonchan,fire-punch,33.0,75.0,physical,fire
rhydon,fire-punch,0.0,75.0,physical,fire
chansey,fire-punch,0.0,75.0,physical,fire
mr-mime,fire-punch,0.0,75.0,physical,fire
electabuzz,fire-punch,0.0,75.0,physical,fire
magmar,fire-punch,43.0,75.0,physical,fire
snorlax,fire-punch,0.0,75.0,physical,fire
dragonite,fire-punch,0.0,75.0,physical,fire
mew,fire-punch,0.0,75.0,physical,fire
golem,fire-punch,0.0,75.0,physical,fire
squirtle,ice-punch,0.0,75.0,physical,ice
psyduck,ice-punch,0.0,75.0,physical,ice
mankey,ice-punch,0.0,75.0,physical,ice
abra,ice-punch,0.0,75.0,physical,ice
machop,ice-punch,0.0,75.0,physical,ice
wartortle,ice-punch,0.0,75.0,physical,ice
blastoise,ice-punch,0.0,75.0,physical,ice
nidoqueen,ice-punch,0.0,75.0,physical,ice
nidoking,ice-punch,0.0,75.0,physical,ice
clefairy,ice-punch,0.0,75.0,physical,ice
clefable,ice-punch,0.0,75.0,physical,ice
jigglypuff,ice-punch,0.0,75.0,physical,ice
wigglytuff,ice-punch,0.0,75.0,physical,ice
golduck,ice-punch,0.0,75.0,physical,ice
primeape,ice-punch,0.0,75.0,physical,ice
poliwhirl,ice-punch,0.0,75.0,physical,ice
poliwrath,ice-punch,0.0,75.0,physical,ice
kadabra,ice-punch,0.0,75.0,physical,ice
alakazam,ice-punch,0.0,75.0,physical,ice
machoke,ice-punch,0.0,75.0,physical,ice
machamp,ice-punch,0.0,75.0,physical,ice
grimer,ice-punch,0.0,75.0,physical,ice
gastly,ice-punch,0.0,75.0,physical,ice
drowzee,ice-punch,0.0,75.0,physical,ice
lickitung,ice-punch,0.0,75.0,physical,ice
kangaskhan,ice-punch,0.0,75.0,physical,ice
mewtwo,ice-punch,0.0,75.0,physical,ice
slowbro,ice-punch,0.0,75.0,physical,ice
muk,ice-punch,0.0,75.0,physical,ice
haunter,ice-punch,0.0,75.0,physical,ice
gengar,ice-punch,0.0,75.0,physical,ice
hypno,ice-punch,0.0,75.0,physical,ice
hitmonchan,ice-punch,38.0,75.0,physical,ice
rhydon,ice-punch,0.0,75.0,physical,ice
