name,generation,base_experience,height,weight,abilities,type,type-slot,hp,attack,defense,special-attack,special-defense,speed,moves,stat-total
pidgey,1,50,3,18,3,normal,1,40,45,40,35,35,56,23,251
pidgey,1,50,3,18,3,flying,2,40,45,40,35,35,56,23,251
rattata,1,51,3,35,3,normal,1,30,56,35,25,35,72,33,253
spearow,1,52,3,20,2,normal,1,40,60,30,31,31,70,26,262
spearow,1,52,3,20,2,flying,2,40,60,30,31,31,70,26,262
meowth,1,58,4,42,3,normal,1,40,45,35,40,40,90,34,290
pidgeotto,1,122,11,300,3,normal,1,63,60,55,50,50,71,23,349
pidgeotto,1,122,11,300,3,flying,2,63,60,55,50,50,71,23,349
pidgeot,1,216,15,395,3,normal,1,83,80,75,70,70,101,24,479
pidgeot,1,216,15,395,3,flying,2,83,80,75,70,70,101,24,479
raticate,1,145,7,185,3,normal,1,55,81,60,50,70,97,36,413
fearow,1,155,12,380,2,normal,1,65,90,65,61,61,100,27,442
fearow,1,155,12,380,2,flying,2,65,90,65,61,61,100,27,442
clefairy,1,113,6,75,3,normal,1,70,45,48,60,65,35,53,323
clefable,1,242,13,400,3,normal,1,95,70,73,95,90,60,54,483
jigglypuff,1,95,5,55,3,normal,1,115,45,20,45,25,20,50,270
wigglytuff,1,218,10,120,3,normal,1,140,70,45,85,50,45,52,435
persian,1,154,10,320,3,normal,1,65,70,60,65,65,115,35,440
farfetchd,1,132,8,150,3,normal,1,52,90,55,58,62,60,31,377
farfetchd,1,132,8,150,3,flying,2,52,90,55,58,62,60,31,377
doduo,1,62,14,392,3,normal,1,35,85,45,35,35,75,33,310
doduo,1,62,14,392,3,flying,2,35,85,45,35,35,75,33,310
lickitung,1,77,12,655,3,normal,1,90,55,75,60,75,30,52,385
kangaskhan,1,172,22,800,3,normal,1,105,95,80,40,80,90,50,490
tauros,1,172,14,884,3,normal,1,75,100,95,40,70,110,34,490
ditto,1,101,3,40,2,normal,1,48,48,48,48,48,48,1,288
eevee,1,65,3,65,3,normal,1,55,55,50,45,65,55,25,325
porygon,1,79,8,365,3,normal,1,65,60,70,85,75,40,34,395
